"horodateur","books-read-per-week","physical-books-or-ebooks","daily-favorite-topics-to-read","happy","sad","surprised","fear","angry","disgust"
"2023/04/16 12:42:02 AM UTC+3","2","fiziksel kitapları / physical books","Psikoloji / Psychology","Şiir / Poetry","Psikoloji / Psychology","Fantezi / Fantasy","Korku / Horror","Gerilim / Thriller;Şiir / Poetry","Psikoloji / Psychology"
"2023/04/16 4:40:15 AM UTC+3","2","e-kitapları / e-books","Bilim / Science;Çizgi roman / Comic;Maneviyat / Spriritual","Bilim / Science;Çizgi roman / Comic","Maneviyat / Spriritual;Psikoloji / Psychology","Bilim / Science","Tarih / History","Yemek Kitapları / Cookbooks","Romantik / Romance"
"2023/04/16 12:04:42 PM UTC+3","2","e-kitapları / e-books","Bilim / Science;Çizgi roman / Comic;Kurgusal olmayan / Nonfiction;Sanat / Art","Çizgi roman / Comic;Fantezi / Fantasy;Kurgu / Fiction;Sanat / Art","Sanat / Art","Bilim / Science;Bilimkurgu / Sci-fi;Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Psikoloji / Psychology;Suç / Crime;Tarih / History","Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Suç / Crime","Gerilim / Thriller;Gizem / Mystery;Psikoloji / Psychology;Suç / Crime","Bilim / Science;Bilimkurgu / Sci-fi;Sanat / Art"
"2023/04/17 3:38:57 AM UTC+3","1","fiziksel kitapları / physical books","İşletme / Business;Tarih / History","Tarih / History","Maneviyat / Spriritual","Maneviyat / Spriritual","Maneviyat / Spriritual","Maneviyat / Spriritual","Maneviyat / Spriritual"
"2023/04/17 3:58:42 AM UTC+3","1","fiziksel kitapları / physical books","Bilim / Science;Biyografi / Biography;Fantezi / Fantasy;Gizem / Mystery;İşletme / Business;Kurgu / Fiction;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance;Sanat / Art;Tarih / History;Yemek Kitapları / Cookbooks","Fantezi / Fantasy;Kurgu / Fiction;Yemek Kitapları / Cookbooks","Kurgu / Fiction;Sanat / Art;Tarih / History","Gizem / Mystery","Maneviyat / Spriritual;Psikoloji / Psychology","Kurgu / Fiction","Kurgu / Fiction"
"2023/04/17 5:33:48 AM UTC+3","10","e-kitapları / e-books","Bilim / Science;Çizgi roman / Comic;Romantik / Romance;Tarih / History","Çizgi roman / Comic","Romantik / Romance","Bilim / Science","Gerilim / Thriller","Suç / Crime","Korku / Horror"
"2023/04/17 7:34:05 AM UTC+3","1","fiziksel kitapları / physical books","Bilim / Science;Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Kurgu / Fiction;Psikoloji / Psychology;Romantik / Romance;Tarih / History","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy;Kurgu / Fiction;Tarih / History","Çizgi roman / Comic;Kurgu / Fiction;Psikoloji / Psychology;Romantik / Romance","Bilimkurgu / Sci-fi;Romantik / Romance","Maneviyat / Spriritual;Psikoloji / Psychology","Çizgi roman / Comic;Maneviyat / Spriritual;Psikoloji / Psychology","Çizgi roman / Comic;Psikoloji / Psychology"
"2023/04/19 8:40:18 AM UTC+3","1","fiziksel kitapları / physical books","Kurgu / Fiction","Fantezi / Fantasy","Kurgu / Fiction","Bilimkurgu / Sci-fi","Gizem / Mystery","Romantik / Romance","Korku / Horror"
"2023/04/20 4:38:50 PM UTC+3","5","e-kitapları / e-books","Çizgi roman / Comic;Fantezi / Fantasy;Gerilim / Thriller;Gizem / Mystery;Klasik / Classic;Kurgu / Fiction;Maneviyat / Spriritual;Psikoloji / Psychology","Çizgi roman / Comic;Klasik / Classic;Maneviyat / Spriritual","Çizgi roman / Comic;Psikoloji / Psychology","Çizgi roman / Comic","Çizgi roman / Comic;Gerilim / Thriller","Çizgi roman / Comic;Psikoloji / Psychology","Çizgi roman / Comic"
"2023/04/20 5:43:10 PM UTC+3","2","e-kitapları / e-books","Korku / Horror","Fantezi / Fantasy;Korku / Horror;Psikoloji / Psychology","Klasik / Classic;Korku / Horror;Kurgu / Fiction","Bilimkurgu / Sci-fi","Çizgi roman / Comic;Fantezi / Fantasy","Felsefe / Philosophy;Gerilim / Thriller;Hatıralar / Memories;Şiir / Poetry","Yemek Kitapları / Cookbooks"
"2023/05/02 10:14:56 PM UTC+3","10","e-kitapları / e-books","Bilim / Science;Hatıralar / Memories;İşletme / Business;Maneviyat / Spriritual;Psikoloji / Psychology;Tarih / History","Bilim / Science;İşletme / Business;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Seyahat / Travel;Tarih / History","Suç / Crime","Bilim / Science;Tarih / History","Suç / Crime","Suç / Crime","Hatıralar / Memories"
"2023/05/02 10:15:26 PM UTC+3","3","e-kitapları / e-books","Bilim / Science","Psikoloji / Psychology","Biyografi / Biography","Bilim / Science","Fantezi / Fantasy;Yemek Kitapları / Cookbooks","Yemek Kitapları / Cookbooks","Bilimkurgu / Sci-fi;Biyografi / Biography"
"2023/05/02 10:20:29 PM UTC+3","6","fiziksel kitapları / physical books","Kişisel Yardımı / Personal Assistance","Kişisel Yardımı / Personal Assistance","Kişisel Yardımı / Personal Assistance","Kişisel Yardımı / Personal Assistance","Kişisel Yardımı / Personal Assistance","Kişisel Yardımı / Personal Assistance","Kişisel Yardımı / Personal Assistance"
"2023/05/02 10:20:48 PM UTC+3","1","fiziksel kitapları / physical books","Fantezi / Fantasy;Gerilim / Thriller;İşletme / Business;Maneviyat / Spriritual;Psikoloji / Psychology;Suç / Crime;Tarih / History","Fantezi / Fantasy;Gerilim / Thriller;Maneviyat / Spriritual","Maneviyat / Spriritual;Psikoloji / Psychology","Bilim / Science;Psikoloji / Psychology;Suç / Crime","Fantezi / Fantasy;Gerilim / Thriller;Maneviyat / Spriritual;Romantik / Romance","Maneviyat / Spriritual;Psikoloji / Psychology","Sanat / Art;Tarih / History"
"2023/05/02 10:25:04 PM UTC+3","1","e-kitapları / e-books","Bilim / Science;Felsefe / Philosophy;Maneviyat / Spriritual;Psikoloji / Psychology","Bilim / Science;Çizgi roman / Comic;Psikoloji / Psychology","Seyahat / Travel","Bilim / Science;Gizem / Mystery","Maneviyat / Spriritual;Psikoloji / Psychology","Çizgi roman / Comic;Maneviyat / Spriritual;Seyahat / Travel","Sanat / Art;Seyahat / Travel"
"2023/05/02 10:28:44 PM UTC+3","7","fiziksel kitapları / physical books","Bilim / Science","Bilim / Science;Bilimkurgu / Sci-fi","Gerilim / Thriller","Korku / Horror","Şiir / Poetry","Gizem / Mystery","Tarih / History"
"2023/05/02 10:33:46 PM UTC+3","1","fiziksel kitapları / physical books","Felsefe / Philosophy;Psikoloji / Psychology;Tarih / History","Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance;Psikoloji / Psychology","Felsefe / Philosophy;Kişisel Yardımı / Personal Assistance","Psikoloji / Psychology;Tarih / History","Psikoloji / Psychology","Kişisel Yardımı / Personal Assistance","Kişisel Yardımı / Personal Assistance"
"2023/05/02 10:41:50 PM UTC+3","1","fiziksel kitapları / physical books","İşletme / Business;Romantik / Romance;Spor Dalları / Sports;Şiir / Poetry;Suç / Crime","Sanat / Art;Spor Dalları / Sports;Şiir / Poetry","Romantik / Romance;Spor Dalları / Sports","Romantik / Romance;Spor Dalları / Sports","Romantik / Romance","Romantik / Romance;Spor Dalları / Sports","Romantik / Romance;Spor Dalları / Sports"
"2023/05/02 10:49:13 PM UTC+3","0","e-kitapları / e-books","Bilim / Science","Romantik / Romance;Yemek Kitapları / Cookbooks","Hatıralar / Memories","Bilim / Science","Bilim / Science","Bilim / Science","Bilim / Science"
