"horodateur","books-read-per-week","physical-books-or-ebooks","daily-favorite-topics-to-read","happy","sad","surprised","fear","angry","disgust"
"2023/04/14 6:12:07 PM UTC+3","4","fiziksel kitapları / physical books","Bilim / Science;Felsefe / Philosophy;Psikoloji / Psychology;Romantik / Romance;Spor Dalları / Sports","Felsefe / Philosophy;Psikoloji / Psychology","Kişisel Yardımı / Personal Assistance;Kurgu / Fiction","Romantik / Romance;Suç / Crime;Tarih / History","Klasik / Classic","Hatıralar / Memories","Sanat / Art"
"2023/04/14 6:13:38 PM UTC+3","1","e-kitapları / e-books","Spor Dalları / Sports","Fantezi / Fantasy","Romantik / Romance;Tarih / History","Gizem / Mystery;Korku / Horror","Suç / Crime","Yemek Kitapları / Cookbooks","Felsefe / Philosophy;Sanat / Art"
"2023/04/14 6:20:26 PM UTC+3","0","fiziksel kitapları / physical books","Bilim / Science;Gizem / Mystery;Kişisel Yardımı / Personal Assistance;Klasik / Classic","Çizgi roman / Comic;Şiir / Poetry","Felsefe / Philosophy;Gerilim / Thriller;Hatıralar / Memories;Psikoloji / Psychology;Suç / Crime","Gerilim / Thriller;Gizem / Mystery","Bilim / Science;Bilimkurgu / Sci-fi;Kişisel Yardımı / Personal Assistance","Gerilim / Thriller;Gizem / Mystery;Korku / Horror;Kurgu / Fiction;Suç / Crime","Kurgusal olmayan / Nonfiction;Yemek Kitapları / Cookbooks"
"2023/04/14 6:25:27 PM UTC+3","5","fiziksel kitapları / physical books","Biyografi / Biography;Felsefe / Philosophy;Hatıralar / Memories;Klasik / Classic;Korku / Horror","Klasik / Classic;Romantik / Romance","Biyografi / Biography;Hatıralar / Memories;Psikoloji / Psychology","Felsefe / Philosophy","Maneviyat / Spriritual","Psikoloji / Psychology","Kurgu / Fiction"
"2023/04/14 6:37:01 PM UTC+3","1","e-kitapları / e-books","Gizem / Mystery;Sanat / Art;Şiir / Poetry;Suç / Crime;Yemek Kitapları / Cookbooks","Gizem / Mystery;Romantik / Romance","Şiir / Poetry;Yemek Kitapları / Cookbooks","Şiir / Poetry;Suç / Crime","Gizem / Mystery;Suç / Crime;Yemek Kitapları / Cookbooks","Suç / Crime;Yemek Kitapları / Cookbooks","Suç / Crime;Yemek Kitapları / Cookbooks"
"2023/04/14 6:37:06 PM UTC+3","2","fiziksel kitapları / physical books","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Gerilim / Thriller;Gizem / Mystery;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology","Maneviyat / Spriritual;Psikoloji / Psychology","Bilimkurgu / Sci-fi;Gerilim / Thriller;Kurgu / Fiction","Bilimkurgu / Sci-fi;Gerilim / Thriller;Korku / Horror;Kurgu / Fiction;Kurgusal olmayan / Nonfiction","Gizem / Mystery;Suç / Crime;Tarih / History","Şiir / Poetry"
"2023/04/14 6:43:55 PM UTC+3","2","fiziksel kitapları / physical books","Bilim / Science","Bilim / Science","Bilim / Science","Gerilim / Thriller;Korku / Horror","Gerilim / Thriller;Hatıralar / Memories;Korku / Horror","Suç / Crime","Gerilim / Thriller"
"2023/04/14 6:46:19 PM UTC+3","1","e-kitapları / e-books","İşletme / Business;Maneviyat / Spriritual;Psikoloji / Psychology;Seyahat / Travel","Romantik / Romance;Seyahat / Travel","Hatıralar / Memories;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance","Fantezi / Fantasy;Sanat / Art;Seyahat / Travel","Maneviyat / Spriritual","Maneviyat / Spriritual","Fantezi / Fantasy"
"2023/04/14 6:58:30 PM UTC+3","1","fiziksel kitapları / physical books","Bilim / Science;Bilimkurgu / Sci-fi;Spor Dalları / Sports;Suç / Crime;Tarih / History","Bilim / Science;Bilimkurgu / Sci-fi;Spor Dalları / Sports","Suç / Crime;Tarih / History","Spor Dalları / Sports","Spor Dalları / Sports","Spor Dalları / Sports","Spor Dalları / Sports"
"2023/04/14 6:58:47 PM UTC+3","2","fiziksel kitapları / physical books","Bilim / Science;Bilimkurgu / Sci-fi;Maneviyat / Spriritual;Seyahat / Travel;Spor Dalları / Sports;Tarih / History","Kurgu / Fiction;Seyahat / Travel;Spor Dalları / Sports","Hatıralar / Memories;Maneviyat / Spriritual","Gerilim / Thriller;Gizem / Mystery;Korku / Horror","Gerilim / Thriller;Gizem / Mystery;Korku / Horror","Biyografi / Biography;Maneviyat / Spriritual","Spor Dalları / Sports"
"2023/04/14 7:00:16 PM UTC+3","1","fiziksel kitapları / physical books","Felsefe / Philosophy;Maneviyat / Spriritual;Şiir / Poetry","Klasik / Classic;Romantik / Romance;Şiir / Poetry","Psikoloji / Psychology","Çizgi roman / Comic;Gerilim / Thriller;Gizem / Mystery","Maneviyat / Spriritual","Hatıralar / Memories","Kurgu / Fiction;Psikoloji / Psychology"
"2023/04/14 7:02:54 PM UTC+3","10","e-kitapları / e-books","Bilim / Science;Bilimkurgu / Sci-fi;Çizgi roman / Comic;Gerilim / Thriller;Gizem / Mystery;Hatıralar / Memories;Klasik / Classic;Maneviyat / Spriritual;Tarih / History;Yemek Kitapları / Cookbooks","Bilim / Science;Çizgi roman / Comic;Hatıralar / Memories;Sanat / Art;Yemek Kitapları / Cookbooks","Gerilim / Thriller;Gizem / Mystery;Maneviyat / Spriritual;Tarih / History","Bilim / Science;Bilimkurgu / Sci-fi","Çizgi roman / Comic","Maneviyat / Spriritual","Çizgi roman / Comic;Kurgusal olmayan / Nonfiction"
"2023/04/14 7:08:43 PM UTC+3","3","e-kitapları / e-books","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic","Çizgi roman / Comic"
"2023/04/14 7:09:22 PM UTC+3","2","fiziksel kitapları / physical books","Bilim / Science;Biyografi / Biography;Çizgi roman / Comic;Klasik / Classic;Maneviyat / Spriritual;Psikoloji / Psychology;Romantik / Romance;Sanat / Art;Seyahat / Travel;Tarih / History;Yemek Kitapları / Cookbooks","Çizgi roman / Comic;Seyahat / Travel","Çizgi roman / Comic;Maneviyat / Spriritual","Çizgi roman / Comic;Romantik / Romance;Yemek Kitapları / Cookbooks","Maneviyat / Spriritual","Çizgi roman / Comic;Psikoloji / Psychology;Seyahat / Travel","Çizgi roman / Comic;Psikoloji / Psychology"
"2023/04/14 7:16:53 PM UTC+3","5","fiziksel kitapları / physical books","Maneviyat / Spriritual;Psikoloji / Psychology","Bilim / Science","Maneviyat / Spriritual","Kişisel Yardımı / Personal Assistance","Romantik / Romance","Psikoloji / Psychology","Kişisel Yardımı / Personal Assistance"
"2023/04/14 7:22:12 PM UTC+3","0","fiziksel kitapları / physical books","İşletme / Business;Kişisel Yardımı / Personal Assistance;Psikoloji / Psychology","Çizgi roman / Comic;Fantezi / Fantasy","Maneviyat / Spriritual","Çizgi roman / Comic;Fantezi / Fantasy","Korku / Horror","Suç / Crime","Korku / Horror"
"2023/04/14 7:37:36 PM UTC+3","0","fiziksel kitapları / physical books","Romantik / Romance","Romantik / Romance","Romantik / Romance","Romantik / Romance","Romantik / Romance","Romantik / Romance","Romantik / Romance"
"2023/04/14 7:46:46 PM UTC+3","0","fiziksel kitapları / physical books;e-kitapları / e-books","Bilim / Science;Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy","Bilim / Science;Bilimkurgu / Sci-fi;Biyografi / Biography;Çizgi roman / Comic;Fantezi / Fantasy","Çizgi roman / Comic;Fantezi / Fantasy","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Fantezi / Fantasy","Çizgi roman / Comic;Fantezi / Fantasy","Çizgi roman / Comic;Fantezi / Fantasy","Bilimkurgu / Sci-fi"
"2023/04/14 8:38:58 PM UTC+3","0","e-kitapları / e-books","Çizgi roman / Comic;Gerilim / Thriller;Kurgu / Fiction","Romantik / Romance","Hatıralar / Memories","Gizem / Mystery","Psikoloji / Psychology","Suç / Crime","Biyografi / Biography"
"2023/04/14 8:39:58 PM UTC+3","1","fiziksel kitapları / physical books","Gizem / Mystery;Kurgusal olmayan / Nonfiction;Sanat / Art;Şiir / Poetry;Tarih / History","Bilimkurgu / Sci-fi;Çizgi roman / Comic;Gerilim / Thriller;Korku / Horror;Suç / Crime","Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Psikoloji / Psychology;Şiir / Poetry","Bilimkurgu / Sci-fi;Fantezi / Fantasy;Kurgu / Fiction","Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Psikoloji / Psychology","Gerilim / Thriller;Kişisel Yardımı / Personal Assistance;Maneviyat / Spriritual;Şiir / Poetry","Felsefe / Philosophy;Sanat / Art;Tarih / History"
"2023/04/14 8:51:18 PM UTC+3","1","fiziksel kitapları / physical books","Kurgu / Fiction","Kişisel Yardımı / Personal Assistance","Romantik / Romance","Kişisel Yardımı / Personal Assistance","Korku / Horror","Romantik / Romance","Maneviyat / Spriritual"
"2023/04/14 9:00:05 PM UTC+3","1","e-kitapları / e-books","Bilim / Science;Felsefe / Philosophy;Spor Dalları / Sports;Şiir / Poetry","Bilim / Science;Biyografi / Biography;Felsefe / Philosophy;İşletme / Business","Felsefe / Philosophy;Hatıralar / Memories","Bilimkurgu / Sci-fi;Felsefe / Philosophy;Suç / Crime","Çizgi roman / Comic;Sanat / Art","Felsefe / Philosophy","İşletme / Business"
"2023/04/14 9:15:23 PM UTC+3","1","e-kitapları / e-books","Maneviyat / Spriritual","Romantik / Romance","Hatıralar / Memories","Seyahat / Travel","Tarih / History","Korku / Horror","Bilim / Science"
